item1,item2,pathtoitem1,pathtoitem2
"Audio Visual Equipment like Television, Speakers, Printers, Scanners etc",IS 616 : 2017IEC 60065 : 2014,shoot-em-standards/assets/product_1.png,shoot-em-standards/assets/product_1_standard.png
"IT Equipments like  Laptop, Notebook, Keyboard ,scanner etc",IS 13252 (Part 1) : 2010IEC 60950-1:2005,shoot-em-standards/assets/product_2.png,shoot-em-standards/assets/product_2_standard.png
Loud Speakers,IS 15596 (Part 5) : 2005IEC 60268-5:2003,shoot-em-standards/assets/product_3.png,shoot-em-standards/assets/product_3_standard.png
Headphones,IS 15596 (Part 7) : 2016IEC 60268-7,shoot-em-standards/assets/product_4.png,shoot-em-standards/assets/product_4_standard.png
Mobile  Charger,IS 16422 : 2016IEC 62684:2018,shoot-em-standards/assets/product_5.png,shoot-em-standards/assets/product_5_standard.png
Tubes for Tyres,IS 13098 : 2012,shoot-em-standards/assets/product_6.png,shoot-em-standards/assets/product_6_standard.png
CCTV Camera,IS 16910 (Part 5) : 2020,shoot-em-standards/assets/product_7.png,shoot-em-standards/assets/product_7_standard.png
Ethernet  LAN Cables (CAT 5/CAT 6/ CAT 7),IS 14493 (Part 5) : 2018,shoot-em-standards/assets/product_8.png,shoot-em-standards/assets/product_8_standard.png
Electronic Weighing Balance,IS 9281 (Part 3) : 1981,shoot-em-standards/assets/product_9.png,shoot-em-standards/assets/product_9_standard.png
Optical Fibre Cables,IS/IEC 60794-2 : 2017,shoot-em-standards/assets/product_10.png,shoot-em-standards/assets/product_10_standard.png
DTH Set Top Box,IS 15954 : 2012,shoot-em-standards/assets/product_11.png,shoot-em-standards/assets/product_11_standard.png
Cable TV Set Top Box,IS 16128 : 2013,shoot-em-standards/assets/product_12.png,shoot-em-standards/assets/product_12_standard.png
Keyboard layout,IS 16350 : 2016,shoot-em-standards/assets/product_13.png,shoot-em-standards/assets/product_13_standard.png
Hearing Aids,IS 16127 : 2013,shoot-em-standards/assets/product_14.png,shoot-em-standards/assets/product_14_standard.png
Mobile Phones,IS 16333 (Part 1) : 2015,shoot-em-standards/assets/product_15.png,shoot-em-standards/assets/product_15_standard.png
Integrated TV,IS 16337 : 2015,shoot-em-standards/assets/product_16.png,shoot-em-standards/assets/product_16_standard.png
"Wall papers, wall vinyls and plastic wall coverings",IS 15418 : 2003,shoot-em-standards/assets/product_17.png,shoot-em-standards/assets/product_17_standard.png
Plywood,IS 303 : 1989,shoot-em-standards/assets/product_18.png,shoot-em-standards/assets/product_18_standard.png
Blockboard,IS 1659 : 2004,shoot-em-standards/assets/product_19.png,shoot-em-standards/assets/product_19_standard.png
PVA Adhesive (Fevicol),IS 4835 : 1979,shoot-em-standards/assets/product_20.png,shoot-em-standards/assets/product_20_standard.png
Steel hammers,IS 841 : 1983,shoot-em-standards/assets/product_21.png,shoot-em-standards/assets/product_21_standard.png
Screwdrivers,IS 844 (Part 1) : 1979,shoot-em-standards/assets/product_22.png,shoot-em-standards/assets/product_22_standard.png
Open jaw wrenches,IS 2028 : 2004,shoot-em-standards/assets/product_23.png,shoot-em-standards/assets/product_23_standard.png
Ring wrenches,IS 2029 : 1998,shoot-em-standards/assets/product_24.png,shoot-em-standards/assets/product_24_standard.png
Combination pliers,IS 3650 : 1981,shoot-em-standards/assets/product_25.png,shoot-em-standards/assets/product_25_standard.png
Pipe wrenches,IS 4003 (Part 1) : 1978,shoot-em-standards/assets/product_26.png,shoot-em-standards/assets/product_26_standard.png
Hand-Held Motor-Operated Electric Tools Safety Part 1 General Requirements (Second Revision),IS 4665 (Part 1) : 202360745-1: 2006,shoot-em-standards/assets/product_27.png,shoot-em-standards/assets/product_27_standard.png
Domestic Pressure Cooker,IS 2347 : 2017,shoot-em-standards/assets/product_28.png,shoot-em-standards/assets/product_28_standard.png
Reflectors,IS/ISO 6742-2 : 2015,shoot-em-standards/assets/product_29.png,shoot-em-standards/assets/product_29_standard.png
